"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"203704_s_at","203704_s_at","RREB1",0.368360651773571,8.30780177246298,2.04389987586422,0.0497600632234632,0.326310620602834,-4.07364433584781
"218549_s_at","218549_s_at","RMDN1",0.193810860182274,6.25989838928177,2.04348248229817,0.0498038416032624,0.326391495603205,-4.0743607972987
"200643_at","200643_at","HDLBP",0.218008404411725,9.7650270094289,2.04332204189207,0.0498206784370593,0.326391495603205,-4.07463616655233
"208059_at","208059_at","CCR8",-0.151667826437295,6.74009259843363,-2.0432355030449,0.0498297620213335,0.326391495603205,-4.07478468944507
"221624_at","221624_at","TCL6",-0.151848053385859,6.98269686287534,-2.04322384032973,0.049830986314325,0.326391495603205,-4.07480470530478
"201018_at","201018_at","EIF1AX",-0.269163322606506,7.75069121226957,-2.04223766044478,0.0499346063454719,0.326756500612265,-4.07649690771781
"219452_at","219452_at","DPEP2",-0.149183195007098,6.33859848222932,-2.04222199538209,0.0499362538364319,0.326756500612265,-4.07652378278494
"216483_s_at","216483_s_at","MYDGF",0.290581297046511,9.42463943910524,2.04221597589662,0.0499368869170289,0.326756500612265,-4.07653410980655
"219305_x_at","219305_x_at","FBXO2",-0.146301358548077,6.91397839261618,-2.04202148312946,0.0499573458892696,0.326756500612265,-4.07686776923777
"212273_x_at","212273_x_at","GNAS",0.228192430611026,11.9773306343026,2.04198958599877,0.0499607018982243,0.326756500612265,-4.07692248768515
"202371_at","202371_at","TCEAL4",-0.337680529877296,6.81365906269398,-2.04185659829034,0.0499746961399542,0.326756500612265,-4.07715061678357
"208336_s_at","208336_s_at","TECR",0.290940630520652,8.76047647573612,2.0412908149661,0.0500342718595512,0.327050067423403,-4.0781210471173
"200946_x_at","200946_x_at","GLUD1",0.331446750416754,8.7597801718117,2.04112621220344,0.0500516158975266,0.327067494734482,-4.07840333606687
"205538_at","205538_at","CORO2A",0.153145021861141,7.29967145812212,2.04098371505309,0.0500666349612736,0.32706972349518,-4.07864770093642
"206691_s_at","206691_s_at","PDIA2",-0.167860195518859,6.8002731132155,-2.04058786215176,0.050108378297002,0.327181647451025,-4.07932647314536
"215305_at","215305_at","PDGFRA",-0.108145198184644,6.89994036015323,-2.04054278306596,0.0501131339025423,0.327181647451025,-4.07940376444508
"222291_at","222291_at","FAM149A",-0.104273184238379,5.63664042709815,-2.04034660462807,0.050133834318128,0.327184938164203,-4.07974011162287
"220349_s_at","220349_s_at","ENGASE",-0.13753219101876,8.25203161729333,-2.04013837921957,0.0501558141421769,0.327184938164203,-4.08009708711046
"211500_at","211500_at","MAPK11",-0.156702123183555,8.32043574699698,-2.04008886489552,0.0501610420151498,0.327184938164203,-4.08018196903741
"214806_at","214806_at","BICD1",-0.100034842521662,5.90550080036909,-2.03998158514011,0.0501723705832735,0.327184938164203,-4.08036587245553
"205577_at","205577_at","PYGM",0.116293257740756,6.52809114113541,2.03944637236398,0.0502289218279736,0.327274511251518,-4.08128324954199
"211193_at","211193_at","TP63",-0.109770005500351,5.8147216528487,-2.03931308621302,0.050243013728676,0.327274511251518,-4.08151167987462
"200666_s_at","200666_s_at","DNAJB1",0.522365066876988,11.5069795951193,2.03912665145316,0.0502627306913143,0.327274511251518,-4.08183117956168
"213301_x_at","213301_x_at","TRIM24",-0.115775502215233,6.13575756911665,-2.03908298391491,0.0502673498657772,0.327274511251518,-4.08190601100526
"217341_at","217341_at","DNM1",-0.210146720862312,7.88726634401208,-2.03905441482114,0.0502703721212226,0.327274511251518,-4.0819549681617
"220420_at","220420_at","LMAN1L",-0.16427298052494,7.63689532570587,-2.03901795525024,0.050274229323428,0.327274511251518,-4.08201744602199
"31861_at","31861_at","IGHMBP2",-0.125598023948454,9.19697570210742,-2.03867619621642,0.0503103980271915,0.327414310525674,-4.08260305103119
"208713_at","208713_at","HNRNPUL1",-0.179368579057433,8.78618744193707,-2.03839936548927,0.0503397120853705,0.327509431941113,-4.08307734794733
"214572_s_at","214572_s_at","INSL3",-0.180665433830989,6.67401516684712,-2.03808226821641,0.0503733084998303,0.327589371011273,-4.08362057535695
"200765_x_at","200765_x_at","CTNNA1",0.315913576846365,10.3136153355565,2.03800590879959,0.050381401716808,0.327589371011273,-4.08375137926984
"202670_at","202670_at","MAP2K1",0.242853183354004,9.0195503645036,2.03784565479189,0.0503983905123643,0.327604240311264,-4.08402588307307
"210960_at","210960_at","ADRA1D",-0.111038438914223,5.84299904570047,-2.03760699305116,0.0504237007856316,0.327673177196334,-4.08443466416213
"208654_s_at","208654_s_at","CD164",0.47493639847967,9.31236807157051,2.0373811416985,0.0504476628049895,0.327733314951481,-4.08482147090178
"209636_at","209636_at","NFKB2",0.182751999862215,6.58150693872694,2.03716771243849,0.0504703160910942,0.327784917941665,-4.08518697363105
"205392_s_at","205392_s_at",NA,-0.194054128536335,9.3145241020026,-2.03689859205998,0.0504988931639769,0.327823200955372,-4.08564780831432
"214981_at","214981_at","POSTN",-0.0736351701196396,4.92447173929722,-2.03683512803004,0.0505056342898081,0.327823200955372,-4.08575647588544
"206103_at","206103_at","RAC3",-0.113760728067485,6.17493926486274,-2.03655483377949,0.0505354165117256,0.327831188669209,-4.08623638539799
"215275_at","215275_at","TRAF3IP3",-0.110139121845996,5.76530075531356,-2.03654662234597,0.0505362892374784,0.327831188669209,-4.08625044397504
"219449_s_at","219449_s_at","TMEM70",0.268715435847298,9.12856733670177,2.03574305408115,0.0506217580601982,0.32800721207884,-4.08762600871706
"208757_at","208757_at","TMED9",0.161714148140243,10.18380115419,2.03565109423161,0.0506315471621974,0.32800721207884,-4.08778340183874
"202790_at","202790_at","CLDN7",0.296574806901063,11.6546148408241,2.03545838937218,0.0506520659449034,0.32800721207884,-4.08811320716438
"219887_at","219887_at","CCDC87",-0.21701248572984,7.59321548060549,-2.03541071088105,0.0506571437726179,0.32800721207884,-4.08819480309494
"209490_s_at","209490_s_at","PPT2",-0.179075454542012,9.5086529889869,-2.03539014987303,0.050659333687647,0.32800721207884,-4.08822999031886
"214431_at","214431_at","GMPS",0.162411134790867,8.09931947977377,2.03533694228085,0.0506650011166873,0.32800721207884,-4.08832104627875
"210095_s_at","210095_s_at","IGFBP3",-0.494840352310964,9.77545290205309,-2.03532320631869,0.0506664642990337,0.32800721207884,-4.08834455281093
"207766_at","207766_at","CDKL1",-0.118330805614074,5.85482963589415,-2.03518178672745,0.0506815307599425,0.328009453942434,-4.08858655917668
"216623_x_at","216623_x_at","TOX3",0.403384340977759,6.87416789755367,2.03500449025904,0.0507004250132456,0.328036460676583,-4.08888994277468
"205592_at","205592_at","SLC4A1",-0.161650296315845,7.89816549405886,-2.03432726904354,0.050772652633767,0.328408423407324,-4.09004860003543
"210033_s_at","210033_s_at","SPAG6",-0.128661378343428,5.84430667311765,-2.03404258296395,0.0508030422418893,0.32850963153686,-4.09053558389376
"213871_s_at","213871_s_at","DNPH1",-0.110383591955933,7.35557354707962,-2.03387597795793,0.0508208343761785,0.328529345054942,-4.090820554895
"202736_s_at","202736_s_at","LSM4",0.269300744514462,8.24679222482349,2.03337506044991,0.0508743615262206,0.328728778520345,-4.09167724942947
"208848_at","208848_at","ADH5",-0.343222550805287,7.05079204155902,-2.03322241672065,0.05089068261502,0.328728778520345,-4.09193827737701
"218188_s_at","218188_s_at","TIMM13",0.248933867022092,8.63178841889484,2.03317323292726,0.0508959424626483,0.328728778520345,-4.09202238087905
"218057_x_at","218057_x_at","EMC8",0.220973312977468,7.74286509867099,2.03238128166234,0.0509807017118876,0.329180810271223,-4.0933763971803
"202598_at","202598_at","S100A13",0.189611426633114,8.97333579109983,2.03172536575262,0.051050995601388,0.329539204804672,-4.09449753466574
"217804_s_at","217804_s_at","ILF3",-0.155453165385113,8.82957064871348,-2.03125125879261,0.0511018582416202,0.329719270009744,-4.09530774439016
"201645_at","201645_at","TNC",-0.21808138110671,5.92098550405294,-2.03118952449051,0.0511084844326911,0.329719270009744,-4.09541323290264
"200652_at","200652_at","SSR2",0.173796822484666,10.3303450579041,2.03075575279463,0.0511550641976689,0.329908151255994,-4.09615437337572
"200942_s_at","200942_s_at","HSBP1",0.169181414615714,9.91050249655779,2.03045181265054,0.051187724475655,0.329908151255994,-4.09667361422737
"206535_at","206535_at","SLC2A2",-0.0934218597136551,5.35338566978442,-2.03041890493264,0.0511912617162062,0.329908151255994,-4.09672982917658
"202882_x_at","202882_x_at","NOL7",0.273034040474064,9.34199498894744,2.03033570719189,0.0512002055743119,0.329908151255994,-4.09687194956148
"209169_at","209169_at","GPM6B",-0.119820274792444,5.53040630126379,-2.03017862792315,0.0512170955313315,0.329908151255994,-4.09714026436939
"202224_at","202224_at","CRK",0.198767761503255,8.90760811425678,2.03009030680996,0.0512265944148336,0.329908151255994,-4.09729112323063
"214713_at","214713_at","YLPM1",-0.171924325830466,7.9227330118957,-2.02985759831052,0.0512516294919871,0.329974013282274,-4.09768858288481
"204783_at","204783_at","MLF1",0.131006934768441,5.59816793298329,2.02957792599094,0.0512817312253774,0.330056037443661,-4.09816621069399
"206763_at","206763_at","FKBP6",-0.162168359808256,8.16642246544012,-2.02934141937842,0.0513071990669778,0.330056037443661,-4.09857008145657
"210227_at","210227_at","DLGAP2",-0.0907359543623114,5.63923905952808,-2.02932650441766,0.0513088055335835,0.330056037443661,-4.09859554983366
